pd_aprobacion,pd_rechazo,aprobacion_auto,revision,rechazo_pct,aprobacion_final,default_auto,default_cartera_final,el_cartera_final,resultado_cartera_final
0.08,0.1,0.13894888408927286,0.21310295176385888,0.6479481641468683,0.2668106551475882,0.06151105293787138,0.07289005082533075,0.017448750791449794,0.08703582474495772
0.08,0.25,0.13894888408927286,0.6421886249100072,0.21886249100071994,0.5242620590352771,0.06151105293787138,0.12570278908166949,0.03306282748579029,0.074040631699229
0.09,0.11,0.20950323974082075,0.24190064794816415,0.5485961123110151,0.35464362850971926,0.07143343631482463,0.07480143615420383,0.01842701438109904,0.08605529754004518
0.09,0.25,0.20950323974082075,0.5881929445644348,0.20230381569474443,0.5624190064794816,0.07143343631482463,0.12180170402134621,0.032402124106522226,0.07443968060253617
0.1,0.12,0.2634989200863931,0.2203023758099352,0.5161987041036717,0.39568034557235415,0.07283699559173708,0.07437919627203637,0.018454933965260975,0.0855642075318541
0.1,0.25,0.2634989200863931,0.5349172066234701,0.2015838732901368,0.5844492440604752,0.07283699559173708,0.12017694167270385,0.03196446267825677,0.07486358304236486
0.11,0.13,0.34053275737940963,0.18718502519798416,0.4722822174226062,0.4528437724982001,0.07594175806147535,0.07885573440333676,0.020634993934623577,0.0838290738543246
0.11,0.25,0.34053275737940963,0.4636429085673146,0.19582433405327573,0.6187185025197984,0.07594175806147535,0.11797595229268668,0.031422957332469394,0.07530509479708827
0.12,0.14,0.3700503959683225,0.19078473722102232,0.43916486681065514,0.4845212383009359,0.07491541981123176,0.07972813040637908,0.02135679423076802,0.08307834266013081
0.12,0.25,0.3700503959683225,0.44132469402447805,0.18862491000719941,0.6348452123830093,0.07491541981123176,0.11622898201944126,0.031082064045832032,0.07567171932017472
0.13,0.15,0.4038876889848812,0.20374370050395968,0.3923686105111591,0.526133909287257,0.07937818908917987,0.08351974667277645,0.022720813919530635,0.08029966219711636
0.13,0.25,0.4038876889848812,0.4146868250539957,0.18142548596112312,0.6526997840172786,0.07937818908917987,0.11587479315703217,0.031191482737822462,0.07534005321202966
0.14,0.16,0.4269258459323254,0.1951043916486681,0.3779697624190065,0.5439884809215263,0.08316692079187747,0.08774314270953394,0.024173331683589965,0.07857336603712783
0.14,0.25,0.4269258459323254,0.3966882649388049,0.17638588912886968,0.6649388048956083,0.08316692079187747,0.11663876378351354,0.03166909565520905,0.07471988179655094
